cityLabel,population,gps
Clifford,30,Point(-97.41 47.346666666)
Edge Hill,30,Point(-82.6267 33.1531)
Richfield,30,Point(-101.784 37.2658)
Kasaan,30,Point(-132.402 55.5417)
Shaniko,30,Point(-120.753055555 45.003055555)
Seoane,31,Point(-7.907891666 42.365775)
Q61379544,31,Point(-7.806275 42.553836)
Q61379514,31,Point(-7.810589 42.558367)
Q61379513,31,Point(-7.806275 42.553836)
Q12402189,31,Point(-6.831061111 42.461080555)
Canton City,31,Point(-97.667222222 48.687777777)
Ardoch,31,Point(-97.34 48.205555555)
Wales,31,Point(-98.601666666 48.894166666)
Susank,31,Point(-98.775 38.6403)
Freeport,31,Point(-97.8564 37.1972)
Luverne,31,Point(-97.935555555 47.251666666)
Latimer,31,Point(-96.8461 38.7378)
Spencer,31,Point(-112.192 44.3672)
Louisburg,31,Point(-96.171111111 45.166111111)
Berlin,31,Point(-98.487777777 46.378333333)
Nekoma,31,Point(-98.371111111 48.576666666)
Rodman,31,Point(-94.527777777 43.026944444)
Polyrrhenia,31,Point(23.652 35.455)
Brebu Nou,31,Point(22.13888889 45.22916667)
Q12383669,32,Point(-7.671944 42.332222)
Q12382805,32,Point(-6.955547222 42.401713888)
Berkley,32,Point(-94.113888888 41.946111111)
Galt,32,Point(-93.605 42.693055555)
Pleasanton,32,Point(-93.743055555 40.580277777)
Egeland,32,Point(-99.098055555 48.628055555)
Alsen,32,Point(-98.705833333 48.6275)
Granite,32,Point(-118.420277777 44.808888888)
Q20542282,32,Point(-6.978486111 42.6113)
Casar do Mato,33,Point(-7.999108333 42.356602777)
Pazos de Monte,33,Point(-7.891241666 42.490636111)
Menlo,33,Point(-100.72417 39.35611)
Mount Sterling,33,Point(-91.933888888 40.618055555)
Lupus,33,Point(-92.4528 38.8467)
Aspinwall,33,Point(-95.135 41.911388888)
Triplett,33,Point(-93.1931 39.4986)
O Pereiro,34,Point(-7.952158333 42.371244444)
O Carroleiro,34,Point(-7.828380555 42.342558333)
Porto,34,Point(-7.911841666 42.353508333)
Q20547964,34,Point(-7.213563888 41.935183333)
Q20545793,34,Point(-7.359144444 41.905869444)
Ludeiros,34,Point(-8.141388888 41.88)
Q12398327,34,Point(-6.868397222 42.368111111)
Q12388334,34,Point(-7.34722222 41.97166667)
Regal,34,Point(-94.845555555 45.407222222)
Susank,34,Point(-98.775 38.6403)
Yetter,34,Point(-94.843888888 42.316388888)
Correll,34,Point(-96.159444444 45.230833333)
Bushong,34,Point(-96.2578 38.6428)
Owasa,34,Point(-93.205277777 42.431944444)
Brocket,34,Point(-98.353888888 48.2125)
Buck Grove,34,Point(-95.397222222 41.918611111)
Carbon,34,Point(-94.825277777 41.050277777)
Larsen Bay,34,Point(-153.991 57.5367)
Q113515041,35,Point(-7.053038888 42.237755555)
Brinsmade,35,Point(-99.322777777 48.183333333)
Aldrich,35,Point(-94.93972222 46.37472222)
Denham,35,Point(-92.94694444 46.36361111)
Paradise,35,Point(-98.9175 39.1156)
Concord,35,Point(-83.4908 38.6872)
Byers,35,Point(-98.8672 37.7878)
Regan,35,Point(-100.529444444 47.157222222)
Alsen,35,Point(-98.705833333 48.6275)
False Pass,35,Point(-163.39909 54.827886)
Ardanaz de Izagaondoa,35,Point(-1.423333333 42.735888888)
Hollister,35,Point(-98.8705 34.3411)
Q12399930,36,Point(-6.878416666 42.371797222)
Q12382111,36,Point(-7.194361111 41.903219444)
Q12385230,36,Point(-6.880541666 42.378266666)
Q12381232,36,Point(-7.691944 42.319444)
Cobden,36,Point(-94.848888888 44.286388888)
Monango,36,Point(-98.593888888 46.1725)
Doran,36,Point(-96.48388889 46.18444444)
Coppock,36,Point(-91.716111111 41.162777777)
Courtenay,36,Point(-98.5675 47.223055555)
Mount Sterling,36,Point(-91.933888888 40.618055555)
